syls,freqs
췌,161
돔,161
넨,159
돗,158
켄,157
꿩,157
캡,156
뭘,156
탔,155
뀔,155
댓,152
쉴,150
툭,149
덥,148
꿇,145
묽,145
춧,142
씁,141
렐,141
튿,141
샐,140
갸,140
닛,140
멎,140
딛,139
휠,138
훑,136
싯,136
튬,135
맴,135
넋,134
밋,132
쬐,131
킥,130
휨,130
샅,129
팜,128
잿,128
빤,127
쩡,126
첼,126
돛,126
쉘,125
탤,125
훗,124
숯,123
콥,122
찹,122
뺄,121
엣,121
빽,121
꽉,121
늉,120
촘,120
찡,119
밉,119
춥,118
꺽,118
짤,118
퐁,117
볶,116
푹,114
녘,112
냅,112
헥,112
껄,111
멧,111
탬,111
맷,110
쥔,110
멱,110
맏,108
딕,107
겊,107
닳,106
딧,106
찧,105
줏,104
뺏,103
곶,103
윽,103
깁,103
눕,102
썹,102
좇,102
뷔,101
쉰,101
샬,101
쎄,100
톰,100
벳,100
뺨,100
뀜,99
샴,97
얗,97
홑,97
텃,96
훤,95
뜀,94
멤,94
팝,93
켤,93
앰,93
짊,93
쩐,92
땜,92
챔,92
툰,92
갠,91
벚,90
쁠,90
웍,88
뚤,88
펑,88
찼,87
뎌,87
슛,86
퀘,86
앎,85
텀,85
팁,84
윙,84
밧,84
떴,83
쐐,83
텁,83
칵,83
똘,82
뮌,82
믐,82
엾,81
껌,80
숟,80
깻,80
쏜,79
깬,78
멩,78
놔,78
챈,78
찜,78
뵈,77
탭,77
삯,76
퓰,76
렙,76
핥,75
뒹,75
뽐,74
벵,74
맣,73
귓,73
귄,73
잼,72
숍,72
놋,72
뛸,72
뎅,72
왁,71
췄,70
튕,70
잴,69
밈,69
꾹,68
탉,68
랏,67
퀀,66
콰,66
겟,65
찐,65
얌,65
갛,65
샹,64
뻘,64
뺑,63
꿍,63
빴,63
룽,62
엥,62
옻,62
뽀,61
빡,61
뻑,61
즌,61
왠,61
띨,61
쉐,60
텨,60
곪,60
펫,59
팠,59
눅,59
혓,59
닻,59
얏,58
꽝,58
횃,57
뤘,57
웁,57
섶,57
괭,56
쵸,55
넙,55
셸,55
믈,55
띈,53
듦,53
컥,53
뗏,52
잰,52
쭐,51
렝,51
뼉,51
츄,51
끽,51
쪄,50
켠,50
뎃,49
눔,48
잽,48
딤,48
쇳,48
캉,48
윷,47
뻤,47
땄,47
낟,47
슁,47
꿋,47
쓱,46
뿍,46
쉼,46
찻,46
휜,46
큘,45
뼛,45
틔,45
펭,45
땡,44
뫼,44
휙,44
맬,44
뗀,44
쟈,44
갉,44
쾅,44
냘,43
톈,43
꼰,43
씸,43
퀸,43
꿨,43
촐,43
헷,42
갭,42
헵,41
겅,41
땔,41
솝,41
덫,41
챌,41
꽹,41
랠,41
콸,41
짭,40
옅,40
뵙,40
둣,40
뒀,39
헴,39
뻣,39
깟,39
뻥,39
힙,39
핌,38
댑,38
샛,37
쏴,37
갗,37
뺌,37
섀,37
쿤,36
뇽,36
빻,36
칡,36
첸,36
짢,36
쳇,36
옇,36
쿡,36
팻,36
챗,35
샨,35
괸,35
햐,35
잤,35
휼,34
폿,34
멥,34
쏭,34
챠,34
텄,34
깰,33
궈,33
뗄,33
홧,33
끙,33
홋,33
괌,33
갹,33
쐬,33
꿎,32
꽈,32
헉,32
곬,32
솎,32
꿉,31
쑨,31
컹,31
왓,31
슥,31
깼,31
볐,31
닢,30
캬,30
숴,30
넴,29
탯,29
폄,29
힉,29
퉈,29
겋,29
핼,29
앴,29
숀,28
킵,28
벰,28
뮈,28
펐,28
흄,28
뼘,27
큽,27
놨,27
켐,27
훅,27
넝,26
헹,26
꼇,26
맸,26
헙,26
튤,26
꼐,26
쌌,25
넛,25
틂,25
빳,25
뭏,25
쥘,25
쯧,24
푯,24
뎠,24
웜,24
꼿,24
겻,24
씰,23
쭝,23
쾰,23
쫑,23
띔,22
몄,22
캅,22
됫,22
퀵,22
셍,21
챘,21
숄,21
쩨,21
뙈,21
옭,20
굼,20
벧,20
앳,20
눴,20
쁩,20
옌,20
떫,19
윅,19
쨋,19
욘,19
쨍,19
껐,19
쌔,19
셴,18
씽,18
쇽,18
뷴,18
췹,18
촨,18
떵,18
튈,18
낍,18
틋,18
넜,18
햅,17
귐,17
뭍,17
뺐,17
퓌,17
죈,16
넸,16
댜,16
긷,16
깽,16
믓,16
샵,15
빰,15
긱,15
땋,15
벋,15
짇,15
븀,15
픕,15
쿰,14
엡,14
샷,14
쳬,14
톳,14
쎈,14
읜,14
훠,14
돠,14
쌘,14
쾨,14
짬,14
쑈,14
믄,14
죤,14
펨,14
푄,14
뵐,14
욜,14
뷸,13
낵,13
휫,13
먀,13
냠,13
츨,13
땠,12
쳄,12
뱌,12
죔,12
삥,12
젬,12
홰,12
욥,12
켕,12
뭡,12
겆,12
꾐,12
빕,12
쭙,11
